imdbId,Imdb Link,Title,IMDB Score,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Short,Sport,Thriller,War,Western
3037582,http://www.imdb.com/title/tt3037582,Povodyr (2014),0.8300000000000001,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3461252,http://www.imdb.com/title/tt3461252,The Blue Elephant (2014),0.8300000000000001,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
2991224,http://www.imdb.com/title/tt2991224,Mandariinid (2013),0.8300000000000001,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4219894,http://www.imdb.com/title/tt4219894,Lokmanya Ek Yugpurush (2015),0.8300000000000001,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5590832,http://www.imdb.com/title/tt5590832,Scott Hall: Living on a Razor's Edge (2016),0.8300000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3390572,http://www.imdb.com/title/tt3390572,Haider (2014),0.82,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4618398,http://www.imdb.com/title/tt4618398,Boruto: Naruto the Movie (2015),0.82,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2096673,http://www.imdb.com/title/tt2096673,Inside Out (2015),0.82,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2140203,http://www.imdb.com/title/tt2140203,Ookami kodomo no Ame to Yuki (2012),0.82,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4171032,http://www.imdb.com/title/tt4171032,World of Tomorrow (2015),0.82,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
993846,http://www.imdb.com/title/tt993846,The Wolf of Wall Street (2013),0.82,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4180650,http://www.imdb.com/title/tt4180650,White Cop (2014),0.82,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
